"","X","Job.title","role.happiness","roadmap.happiness","roadmap.DEEPScore","roadmap.mat_level","roadmap.tools","office","product","project","custom"
"1",1,"Senior Product Manager",4,4,60,4,"",FALSE,FALSE,FALSE,FALSE
"2",2,"Product Manager",5,5,74,4,"",FALSE,FALSE,FALSE,FALSE
"3",3,"FP&A",5,4,43,3,"MICROSOFT: Project Server",FALSE,FALSE,TRUE,FALSE
"4",4,"Product Manager",4,3,70,4,"",FALSE,FALSE,FALSE,FALSE
"5",5,"Product Manager",3,4,50,3,"MICROSOFT: Excel",TRUE,FALSE,FALSE,FALSE
"6",6,"Senior Product Marketing Manager",5,5,68,4,"MICROSOFT: Excel;MICROSOFT: PowerPoint",TRUE,FALSE,FALSE,FALSE
"7",7,"Head of Product/VP/Director/CPO",5,3,80,4,"MICROSOFT: Excel;MICROSOFT: PowerPoint;MICROSOFT: Project Server",TRUE,FALSE,TRUE,FALSE
"8",8,"Senior Product Manager",2,3,47,3,"MICROSOFT: Excel;PRODPAD: ProdPad",TRUE,TRUE,FALSE,FALSE
"9",9,"Senior Product Manager",5,3,78,4,"",FALSE,FALSE,FALSE,FALSE
"10",10,"Lead Product Manager",4,5,64,4,"ATLASSIAN: Jira/Confluence",FALSE,FALSE,TRUE,FALSE
"11",11,"Product Manager",5,5,66,4,"ATLASSIAN: Jira/Confluence;MICROSOFT: Excel",TRUE,FALSE,TRUE,FALSE
"12",12,"Continuous improvement specialist",3,2,62,4,"ATLASSIAN: Jira/Confluence;MICROSOFT: Excel;MICROSOFT: PowerPoint",TRUE,FALSE,TRUE,FALSE
"13",13,"CTO",5,4,77,4,"ATLASSIAN: Jira/Confluence;MICROSOFT: Excel;MICROSOFT: PowerPoint;MICROSOFT: Project Server",TRUE,FALSE,TRUE,FALSE
"14",14,"CTO",5,5,33,3,"ATLASSIAN: Jira/Confluence",FALSE,FALSE,TRUE,FALSE
"15",15,"Product Manager",4,3,64,4,"Google Slides",FALSE,FALSE,FALSE,FALSE
"16",16,"Senior Product Manager",3,3,44,3,"ATLASSIAN: Jira/Confluence",FALSE,FALSE,TRUE,FALSE
"17",17,"Product Manager",5,5,70,4,"MICROSOFT: Excel;MICROSOFT: Project Server",TRUE,FALSE,TRUE,FALSE
"18",18,"Freelancer ( Products & Growth )",4,4,69,4,"MICROSOFT: Excel;MICROSOFT: PowerPoint;PRODUCTPLAN: ProductPlan",TRUE,TRUE,FALSE,FALSE
